uri	title	url	n	class for black list	alternate image	weight (if not black list or 1)	comment
http://en.wikipedia.org/wiki/Patient	Patient		1237		https://i.imgur.com/viptu9T.png	0.5	
http://en.wikipedia.org/wiki/Systematic_review	Systematic review	https://commons.wikimedia.org/wiki/Special:FilePath/Systematic_reviews_-_what_authors_do.png	1084	study type			
http://en.wikipedia.org/wiki/Therapy	Therapy	https://commons.wikimedia.org/wiki/Special:FilePath/Polio_physical_therapy.jpg	720	generic			
http://en.wikipedia.org/wiki/Human	Human	https://commons.wikimedia.org/wiki/Special:FilePath/Akha_cropped_hires.JPG	658		https://i.imgur.com/qGTiSpp.png	0.2	
http://en.wikipedia.org/wiki/Meta-analysis	Meta-analysis		626	study type			
http://en.wikipedia.org/wiki/Randomized_controlled_trial	Randomized controlled trial	https://commons.wikimedia.org/wiki/Special:FilePath/Flowchart_of_Phases_of_Parallel_Randomized_Trial_-_Modified_from_CONSORT_2010.png	569	study type			
http://en.wikipedia.org/wiki/Evolution	Evolution	https://commons.wikimedia.org/wiki/Special:FilePath/Lucretius_Rome.jpg	509		https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Human_evolution.svg/800px-Human_evolution.svg.png	0.5	
http://en.wikipedia.org/wiki/Species	Species	https://commons.wikimedia.org/wiki/Special:FilePath/John_Ray_from_NPG.jpg	486		https://i.imgur.com/BcLpJsR.png	0.5	
http://en.wikipedia.org/wiki/Research	Research	https://commons.wikimedia.org/wiki/Special:FilePath/Research-Warner-Highsmith.jpeg	477	study type			
http://en.wikipedia.org/wiki/Medicine	Medicine	https://commons.wikimedia.org/wiki/Special:FilePath/Three_early_medicine_bottles.jpg	472		https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Star_of_life2.svg/220px-Star_of_life2.svg.png	0.5	
http://en.wikipedia.org/wiki/Health	Health	https://commons.wikimedia.org/wiki/Special:FilePath/Smallpox_eradication_team.jpg	460	generic			
http://en.wikipedia.org/wiki/Health_care	Health care	https://commons.wikimedia.org/wiki/Special:FilePath/NewYorkPresbyterian-Cornell.jpg	451	generic			
http://en.wikipedia.org/wiki/Physical_exercise	Physical exercise	https://commons.wikimedia.org/wiki/Special:FilePath/Soldier_running_in_water.jpg	443		https://snappygoat.com/o/2efc29cb9a889e8a6d6878a6c7539fd8e988c0e1/running-sprinting-jogging-sports-294198.svg	0.3	
http://en.wikipedia.org/wiki/Clinical_trial	Clinical trial		433	study type			
http://en.wikipedia.org/wiki/Risk	Risk	https://commons.wikimedia.org/wiki/Special:FilePath/3_Alarm_Building_Fire.jpg	422	generic			
http://en.wikipedia.org/wiki/Disease	Disease	https://commons.wikimedia.org/wiki/Special:FilePath/Mycobacterium_tuberculosis.jpg	421			0.5	
http://en.wikipedia.org/wiki/Child	Child	https://commons.wikimedia.org/wiki/Special:FilePath/Children_games_Louvre_Ma99_n2.jpg	418		https://snappygoat.com/o/b8b774fe75c601bcface87d3a74622a338510ec2/child-with-braids-braids-937658.jpg		
http://en.wikipedia.org/wiki/Cancer	Cancer	https://commons.wikimedia.org/wiki/Special:FilePath/Tumor_Mesothelioma2_legend.jpg	418		https://upload.wikimedia.org/wikipedia/commons/3/35/Cancer_cells_%281%29.jpg		
http://en.wikipedia.org/wiki/Causality	Causality		375	generic			
http://en.wikipedia.org/wiki/Adolescence	Adolescence	https://commons.wikimedia.org/wiki/Special:FilePath/Teens_sharing_a_song.jpg	351				
http://en.wikipedia.org/wiki/Biodiversity	Biodiversity	https://commons.wikimedia.org/wiki/Special:FilePath/Fungi_of_Saskatchewan.JPG	333		https://en.wikipedia.org/wiki/File:Amazon_CIAT_(5).jpg	0.5	
http://en.wikipedia.org/wiki/Experiment	Experiment	https://commons.wikimedia.org/wiki/Special:FilePath/Mirror_baby.jpg	332	study type			
http://en.wikipedia.org/wiki/Adult	Adult	https://commons.wikimedia.org/wiki/Special:FilePath/RudolfMilly.jpg	324		https://snappygoat.com/o/2e31e846e6d303450226a94ed6cbc2d3ca927d27/couple-man-woman-old-satisfied-579172.jpg		
http://en.wikipedia.org/wiki/Behavior	Behavior		307	generic		0.3	
http://en.wikipedia.org/wiki/Mortality_rate	Mortality rate	https://commons.wikimedia.org/wiki/Special:FilePath/Death_rate_world_map.PNG	307			0.3	
http://en.wikipedia.org/wiki/Correlation_and_dependence	Correlation and dependence	https://commons.wikimedia.org/wiki/Special:FilePath/Correlation_examples2.svg	303	study type			
http://en.wikipedia.org/wiki/Genome	Genome	https://commons.wikimedia.org/wiki/Special:FilePath/UCSC_human_chromosome_colours.png	302				
http://en.wikipedia.org/wiki/Medical_diagnosis	Medical diagnosis	https://commons.wikimedia.org/wiki/Special:FilePath/Xraymachine.JPG	286		https://snappygoat.com/o/36fd2957687a4b1d4848aa61dcbf64b8913240d6/diagnostics-stethoscope-doctor-161140.svg		
http://en.wikipedia.org/wiki/Genetics	Genetics		281		https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Hybridogenesis_in_water_frogs_gametes.svg/1280px-Hybridogenesis_in_water_frogs_gametes.svg.png		
http://en.wikipedia.org/wiki/Regulation_of_gene_expression	Regulation of gene expression	https://commons.wikimedia.org/wiki/Special:FilePath/Gene_expression_control.png	279		https://en.wikipedia.org/wiki/File:Regulation_of_gene_expression_by_steroid_hormone_receptor.svg		
http://en.wikipedia.org/wiki/Science	Science	https://commons.wikimedia.org/wiki/Special:FilePath/The_Scientific_Universe.png	272	study type			
http://en.wikipedia.org/wiki/Old_age	Old age	https://commons.wikimedia.org/wiki/Special:FilePath/Maes_Old_Woman_Dozing.jpg	267		https://snappygoat.com/o/41b6a50c29f69d7350e9c894e051cffcea49a961/old-age-pensioners-elder-life-style-957492.jpg		
http://en.wikipedia.org/wiki/United_States	United States	https://en.wikipedia.org/wiki/Special:FilePath/Flag_of_the_United_States.svg	266				
http://en.wikipedia.org/wiki/Chronic_condition	Chronic condition		266				
http://en.wikipedia.org/wiki/Diet_%28nutrition%29	Diet (nutrition)	https://commons.wikimedia.org/wiki/Special:FilePath/FoodSourcesOfMagnesium.jpg	261		https://snappygoat.com/o/b3f56478148463e49d81354d7950728ec206169b/diet-fruit-health-power-supply-861173.jpg		
http://en.wikipedia.org/wiki/Surgery	Surgery	https://commons.wikimedia.org/wiki/Special:FilePath/USArmyTrauma.jpg	261				
http://en.wikipedia.org/wiki/Brain	Brain	https://commons.wikimedia.org/wiki/Special:FilePath/Chimp_Brain_in_a_jar.jpg	256		https://snappygoat.com/o/c862cd10e6443cc9d9e9dc94070742e4af8816ac/brain_as_gears.svg		
http://en.wikipedia.org/wiki/Education	Education	https://commons.wikimedia.org/wiki/Special:FilePath/FBE_CTU_lecture.jpg	250		https://snappygoat.com/o/703647651ed5671b0b57577eca79e9d53236b6cf/teacher-students-schoolboys-pupils-158711.svg		
